,Names,Situacoes
87,AGROBRAS AGRIC TROP DO BR SA,Cancelado em 09/11/2004
88,AGROBUFALO SA,Cancelado em 14/02/2012
89,AGROBUFALO SA,Cancelado em 02/02/2016
90,AGROCISA-AGROPEC COM E IND SA,Cancelado em 14/02/2012
91,AGROCISA-AGROPEC COM E IND SA,Cancelado em 24/07/2017
92,AGROCUNHA SA,Cancelado em 14/02/2012
93,AGROIND BAQUIT SA,Cancelado em 14/02/2012
94,AGROIND BAQUIT SA,Cancelado em 05/07/2016
95,AGROINDL BAMA SA,Cancelado em 21/01/1993
96,AGROINDL BARÃO DO MELGAÇO SA,Cancelado em 28/09/2008
97,AGROINDL BARRO BRANCO SA,Cancelado em 28/09/2008
98,AGROINDL CAIANA SA,Cancelado em 14/02/2012
99,AGROINDL ESTRELA SA,Cancelado em 14/02/2012
100,AGROINDL IRMAOS ALMEIDA SA,Cancelado em 14/02/2012
101,AGROINDL LUIZ GUIMARAES SA,Cancelado em 14/02/2012
102,AGROINDL MANACAPURU SA,Cancelado em 14/02/2012
103,AGROINDL R. FUNDO SA-AGRISA,Cancelado em 28/09/2008
104,AGROINDL SA  AGROISA,Cancelado em 14/02/2006
105,AGROINDL SAO PAULO SA,Cancelado em 12/10/2010
106,AGROINDL SERRA DAS VARAS SA,Cancelado em 14/02/2012
107,AGROINDL STA LUZIA SA,Cancelado em 14/02/2012
108,AGROINDL SUINORTE SA,Cancelado em 19/04/1991
109,AGROINDL TRAVESSIA SA,Cancelado em 14/02/2012
110,AGROINDUSTRIAL DE CEREAIS DONA CAROLINA S/A,Cancelado em 14/02/2012
111,AGROINDUSTRIAL DE CEREAIS VERDES CAMPOS S.A.,Concedido em 18/12/2013
112,AGROINDUSTRIAL E PASTORIL NATIVA S.A.,Cancelado em 12/04/2018
113,AGROINDUSTRIAL PALMASA S/A,Cancelado em 14/02/2012
114,AGROINDUSTRIAL PALMASA S/A,Cancelado em 01/02/2013
115,AGROINDUSTRIAL SAPUCAIA S/A,Cancelado em 09/03/2015
116,AGROINDUSTRIAL SERRA VERMELHA S/A,Cancelado em 14/02/2012
117,AGROINDUSTRIAL SERRA VERMELHA S/A,Cancelado em 17/02/2016
