,Names,Situacoes
64,AGRICULTURA MECANIZADA S/A,Cancelado em 24/10/2012
65,AGRILEASING SA ARREND MERC,Cancelado em 30/09/1985
66,AGRIMISA AGROPEC IND MIN PA SA,Cancelado em 28/09/2008
67,"AGRINCO-AGROPEC,IND E COM SA",Cancelado em 01/02/1991
68,AGRIPEC QUIM E FARMAC,Cancelado em 12/01/2007
69,AGRO AGRI RONDONIA SA,Cancelado em 14/02/2012
70,AGRO IND JURUPARI ACRE SA,Cancelado em 23/09/2004
71,AGRO INDL ITAPIRANGA SA,Cancelado em 28/09/2008
72,AGRO INDL JAGUARUANA SA,Cancelado em 14/02/2012
73,AGRO MECANIZ AGRI RONDONIA SA,Cancelado em 14/02/2012
74,AGRO MERCANTIL URTIGAS SA AMUSA,Cancelado em 30/03/2016
75,AGRO PASTORIL ANGICOS S. A....,Cancelado em 14/02/2012
76,AGRO PASTORIL CARIRI SA CARIRISA,Cancelado em 09/08/2005
77,AGRO UNA AGRICOLA CURUA UNA S/A,Cancelado em 14/02/2012
78,AGROALEGRE AGROINDUSTRIAL E PASTORIL MONTE ALEGRE SA,Cancelado em 28/09/2008
79,AGROBALSAS EMPREEND INDS E AGROPEC SA,Cancelado em 08/01/2015
80,AGROBRAGANTINA SA,Cancelado em 17/11/2005
81,AGROBRAS AGRIC TROP DO BR SA,Cancelado em 09/11/2004
82,AGROBUFALO SA,Cancelado em 14/02/2012
83,AGROBUFALO SA,Cancelado em 02/02/2016
84,AGROCISA-AGROPEC COM E IND SA,Cancelado em 14/02/2012
85,AGROCISA-AGROPEC COM E IND SA,Cancelado em 24/07/2017
86,AGROCUNHA SA,Cancelado em 14/02/2012
87,AGROIND BAQUIT SA,Cancelado em 14/02/2012
88,AGROIND BAQUIT SA,Cancelado em 05/07/2016
89,AGROINDL BAMA SA,Cancelado em 21/01/1993
90,AGROINDL BARÃO DO MELGAÇO SA,Cancelado em 28/09/2008
91,AGROINDL BARRO BRANCO SA,Cancelado em 28/09/2008
92,AGROINDL CAIANA SA,Cancelado em 14/02/2012
93,AGROINDL ESTRELA SA,Cancelado em 14/02/2012
94,AGROINDL IRMAOS ALMEIDA SA,Cancelado em 14/02/2012
95,AGROINDL LUIZ GUIMARAES SA,Cancelado em 14/02/2012
96,AGROINDL MANACAPURU SA,Cancelado em 14/02/2012
97,AGROINDL R. FUNDO SA-AGRISA,Cancelado em 28/09/2008
98,AGROINDL SA  AGROISA,Cancelado em 14/02/2006
99,AGROINDL SAO PAULO SA,Cancelado em 12/10/2010
100,AGROINDL SERRA DAS VARAS SA,Cancelado em 14/02/2012
101,AGROINDL STA LUZIA SA,Cancelado em 14/02/2012
102,AGROINDL SUINORTE SA,Cancelado em 19/04/1991
103,AGROINDL TRAVESSIA SA,Cancelado em 14/02/2012
104,AGROINDUSTRIAL DE CEREAIS DONA CAROLINA S/A,Cancelado em 14/02/2012
105,AGROINDUSTRIAL E PASTORIL NATIVA S.A.,Cancelado em 12/04/2018
106,AGROINDUSTRIAL PALMASA S/A,Cancelado em 14/02/2012
107,AGROINDUSTRIAL PALMASA S/A,Cancelado em 01/02/2013
108,AGROINDUSTRIAL SAPUCAIA S/A,Cancelado em 09/03/2015
109,AGROINDUSTRIAL SERRA VERMELHA S/A,Cancelado em 14/02/2012
110,AGROINDUSTRIAL SERRA VERMELHA S/A,Cancelado em 17/02/2016
111,AGROINDUSTRIAL UNIDOS S/A,Cancelado em 11/01/2011
112,AGROISA-AGROINDL CAMPO NOVO SA,Cancelado em 14/02/2012
113,AGROJAISA AGROPEC JATAHY INDL,Cancelado em 14/09/2011
114,AGROLANDIA ACAILANDIA IND SA,Cancelado em 14/02/2012
115,AGROLUPE-AGROPEC GUADALUPE SA,Cancelado em 14/02/2012
116,AGROLUSA-AGROINDL LUSITANA SA,Cancelado em 05/03/1997
117,AGROMA EMPREEND RURAIS SA,Cancelado em 14/02/2012
118,AGROMALTA AGROP MARANHENSE SA,Cancelado em 30/09/2011
119,AGROMON SA AGRICULTURA E PEC,Cancelado em 14/02/2012
120,AGROMOSA AGROP M F OLIVEIRA SA,Cancelado em 14/02/2012
121,AGROMUNDO AGROPEC RAIM VIA SA,Cancelado em 28/09/2008
122,AGRON AGROINDL SA,Cancelado em 14/02/2012
123,AGRONESA-AGROPEC NOVA ESPERANÇA,Cancelado em 10/01/2012
124,AGRONORTE SA,Cancelado em 20/12/2005
125,AGRONOSA AGROPEC NORTE SA,Cancelado em 05/07/2011
126,AGROPALMA SA,Cancelado em 14/02/2012
127,AGROPARANÁ S/A,Cancelado em 14/02/2012
128,AGROPASA AGR MED PARAGUASSU SA,Cancelado em 14/02/2012
129,AGROPASTORIL CANTANHEDE SA,Cancelado em 14/02/2012
130,AGROPASTORIL DOIS ACUDES S/A,Cancelado em 14/02/2012
131,AGROPASTORIL ESTRELA DO ORIENTE SA,Cancelado em 10/06/2011
132,AGROPASTORIL GADO BRANCO SA,Cancelado em 19/01/2011
133,AGROPASTORIL GALDINO SA,Cancelado em 28/09/2008
134,AGROPASTORIL IPUIRU SA,Cancelado em 28/09/2008
135,AGROPASTORIL JAFFARABAD SA,Cancelado em 14/02/2012
136,AGROPASTORIL JOSE IVO SA,Cancelado em 14/02/2012
137,AGROPASTORIL LAGOA DE CIMA S/A - LACIMA,Cancelado em 03/04/2009
138,AGROPASTORIL LIVRAMENTO SA,Cancelado em 14/02/2012
139,AGROPASTORIL MURRAH S/A - AGROMURRAH,Cancelado em 14/02/2012
140,AGROPASTORIL RIO CUNANY SA,Cancelado em 28/09/2008
141,AGROPASTORIL RODA VELHA SA,Cancelado em 22/10/2007
142,AGROPASTORIL SANGUINETTE SA AGROSAN,Cancelado em 17/07/2013
143,AGROPASTORIL SERRA DA EMA SA,Cancelado em 28/09/2008
144,AGROPASTORIL SERRA DA EMA SA,Cancelado em 25/11/2011
145,AGROPEC AGUA BRANCA SA,Cancelado em 28/09/2008
146,AGROPEC ALTEROSA SA,Cancelado em 14/02/2012
147,AGROPEC ALTEROSA SA,Cancelado em 28/12/2018
148,AGROPEC AMAMBAI SA,Cancelado em 14/02/2012
149,AGROPEC ANGELUS SA,Cancelado em 14/02/2012
150,AGROPEC AQUARIUS SA,Cancelado em 11/11/2010
151,AGROPEC ARUANA SA,Cancelado em 26/05/1995
152,AGROPEC BAIXO AMAZONAS SA,Cancelado em 01/08/2016
153,AGROPEC BARRA DAS PRINCESAS SA,Cancelado em 28/08/1998
154,AGROPEC BEBEDOURO SA,Cancelado em 24/10/2012
155,AGROPEC BELA VISTA SA,Cancelado em 14/02/2012
156,AGROPEC BELO HORIZONTE SA,Cancelado em 14/02/2012
157,AGROPEC BELO VALE SA,Cancelado em 08/04/1997
158,AGROPEC BETANIA SA,Cancelado em 14/02/2012
159,AGROPEC BOA ESPERANCA SA,Cancelado em 14/02/2012
160,AGROPEC BOA SORTE SA,Cancelado em 14/02/2012
161,AGROPEC BOA VISTA SA,Cancelado em 14/02/2012
162,AGROPEC BOA VISTA SA,Cancelado em 22/10/2003
163,AGROPEC BOA VISTA SA,Cancelado em 11/10/2016
164,AGROPEC BONOMO SA,Cancelado em 14/02/2012
165,AGROPEC BONOMO SA,Cancelado em 10/10/2016
166,AGROPEC BRITO IRMAOS SA,Cancelado em 14/02/2012
167,AGROPEC CAJABI SA,Cancelado em 28/09/2008
168,AGROPEC CAMBOA SA,Cancelado em 14/02/2012
169,AGROPEC CAMPO ALEGRE SA,Cancelado em 14/02/2012
170,AGROPEC CAMPOS SA,Cancelado em 28/08/1998
171,AGROPEC CANAFISTULA SA,Cancelado em 24/03/1998
172,AGROPEC CAROCA SA,Cancelado em 14/02/2012
173,AGROPEC CAROPA SA,Cancelado em 14/02/2012
174,AGROPEC CAROPA SA,Cancelado em 03/12/2012
175,AGROPEC CASCAVEL SA - AGROCASA,Cancelado em 14/02/2012
176,AGROPEC CAXIRIMBU SA,Cancelado em 14/02/2012
177,AGROPEC CEARENSE SA - ACESA,Cancelado em 28/09/2008
178,AGROPEC CEDROMINAS SA,Cancelado em 23/10/1992
179,AGROPEC CORACI PARANA SA,Cancelado em 14/02/2012
180,AGROPEC CORUMBIARA SA,Cancelado em 24/10/2012
181,AGROPEC CUPISSURA SA,Cancelado em 14/02/2012
182,AGROPEC DA BARRA SA,Cancelado em 14/02/2012
183,AGROPEC DA STA CRUZ SA,Cancelado em 14/02/2012
184,AGROPEC DA STA CRUZ SA,Cancelado em 08/11/2013
185,AGROPEC DEMETRIO SA,Cancelado em 14/02/2012
186,AGROPEC DEMETRIO SA,Cancelado em 08/01/2018
187,AGROPEC DIAMANTE SA - AGRODISA,Cancelado em 28/09/2008
188,AGROPEC DO BOSQUE SA,Cancelado em 14/02/2012
189,AGROPEC DO CACHIMBO SA,Cancelado em 03/06/1993
190,AGROPEC DO GUAMA SA,Cancelado em 14/02/2012
191,AGROPEC DO RETIRO SA,Cancelado em 14/02/2012
192,AGROPEC DUPLO T SA,Cancelado em 13/10/2015
193,AGROPEC E INDL MACHADO SA-AGRIMA,Cancelado em 05/10/2017
194,AGROPEC E INDL SANTANA SA,Cancelado em 28/09/2008
195,AGROPEC ESTRELA DO NORTE SA,Cancelado em 07/08/2006
196,AGROPEC ESTRELA SA,Cancelado em 14/02/2012
197,AGROPEC FAZ CATALUNHA SA,Cancelado em 20/09/2005
198,AGROPEC FAZ PARANA SA,Cancelado em 23/07/2002
199,AGROPEC FAZ PAU LEITE SA,Cancelado em 14/02/2012
200,AGROPEC FERNANDES SA,Cancelado em 14/02/2012
201,AGROPEC FERREIRA SA,Cancelado em 14/02/2012
202,AGROPEC FLECHAL SA,Cancelado em 03/11/2005
203,AGROPEC FLECHAL SA,Cancelado em 01/06/2015
204,AGROPEC FORQUILHA SA,Cancelado em 14/09/2010
205,AGROPEC FRANGO ACU SA,Cancelado em 14/02/2012
206,AGROPEC GERSON MARANHAO SA,Cancelado em 04/12/1992
207,AGROPEC GIFONI SALES SA,Cancelado em 28/09/2008
208,AGROPEC GRENDENE SA,Cancelado em 27/04/2001
209,AGROPEC HAKONE SA,Cancelado em 28/09/2008
210,AGROPEC ILHA DE NAZARE SA,Cancelado em 14/02/2012
211,AGROPEC INDEPENDENCIA SA,Cancelado em 14/02/2012
212,AGROPEC ITAMBE SA,Cancelado em 29/12/1993
213,AGROPEC ITAPEMIRIM SA,Cancelado em 21/03/1997
214,AGROPEC ITAPIRACO SA,Cancelado em 14/02/2012
215,AGROPEC JATOBA SA,Cancelado em 31/08/1993
216,AGROPEC JATOBA SA,Cancelado em 15/09/1997
217,AGROPEC JENIPAPO SA,Cancelado em 28/09/2008
218,AGROPEC LAGOA VERDE SA,Cancelado em 21/08/2009
219,AGROPEC LOPES SA,Cancelado em 16/06/1997
220,AGROPEC MALACACHETA SA,Cancelado em 14/02/2012
221,AGROPEC MARACAJA SA,Cancelado em 14/02/2012
222,AGROPEC MARFIM SA,Cancelado em 14/02/2012
223,AGROPEC MARIA PAZ NORTE SA,Cancelado em 14/02/2012
224,AGROPEC MONTE REI SA,Cancelado em 14/02/2012
225,AGROPEC MUCAMBE SA,Cancelado em 14/02/2012
226,AGROPEC MUCAMBO SA,Cancelado em 14/02/2012
227,AGROPEC MUCUBAL SA,Cancelado em 28/09/2008
228,AGROPEC MUNDO NOVO SA,Cancelado em 14/02/2012
229,AGROPEC MUSAMAR SA,Cancelado em 16/05/1997
230,AGROPEC N S DE FATIMA SA,Cancelado em 14/02/2012
231,AGROPEC NELSON ALMEIDA SA,Cancelado em 14/02/2012
232,AGROPEC NELSON ALMEIDA SA,Cancelado em 10/10/2014
233,AGROPEC NOIRUMBA SA,Cancelado em 14/02/2012
234,AGROPEC NOVA ERA SA,Cancelado em 14/02/2012
235,AGROPEC NOVA SERTANIA SA,Cancelado em 01/09/2004
236,AGROPEC NOVO MUNDO SA,Cancelado em 14/02/2012
237,AGROPEC NOVO MUNDO SA,Cancelado em 27/08/2013
238,AGROPEC OLINDA SA,Cancelado em 14/02/2012
239,AGROPEC OLIVEIRA MACIEL SA,Cancelado em 14/02/2012
240,AGROPEC PALMIRA DO NORTE SA,Cancelado em 14/02/2012
241,AGROPEC PEIXE BOI SA,Cancelado em 27/10/2005
242,AGROPEC PIMENTA BUENO SA,Cancelado em 24/10/2012
243,AGROPEC PINHO SA AGROPINHO,Cancelado em 14/02/2012
244,AGROPEC PIQUIA SA,Cancelado em 13/01/2006
245,AGROPEC PITITAL SA,Cancelado em 28/09/2008
246,AGROPEC PRACUUBA SA,Cancelado em 30/07/2012
247,AGROPEC QUIXADA SA,Cancelado em 14/02/2012
248,AGROPEC QUIXADA SA,Cancelado em 05/09/2018
249,AGROPEC REMANSO ACU SA,Cancelado em 28/09/2008
250,AGROPEC REUNIDOS PARAENSE SA,Cancelado em 02/01/1992
251,AGROPEC RIBEIRA DO MOXOTO SA,Cancelado em 28/09/2008
252,AGROPEC RICA SA,Cancelado em 20/03/1997
253,AGROPEC RICASTRO SA,Cancelado em 02/05/2016
254,AGROPEC RIO ARATAU SA,Cancelado em 23/03/2011
255,AGROPEC RIO BONITO SA,Cancelado em 14/02/2012
256,AGROPEC RIO CAUAXI SA,Cancelado em 14/02/2012
257,AGROPEC RIO DARRO SA,Cancelado em 21/10/1996
258,AGROPEC RIO DAS ANTAS SA,Cancelado em 28/07/1999
259,AGROPEC RIO DEZOITO SA,Cancelado em 14/02/2012
260,AGROPEC RIO DO OURO SA,Cancelado em 14/02/2012
261,AGROPEC RIO MEARIM SA,Cancelado em 14/02/2012
262,AGROPEC RIO MUDRIRE SA,Cancelado em 14/02/2012
263,AGROPEC RIO MUDRIRE SA,Cancelado em 20/07/2016
264,AGROPEC RIO NEGRO SA,Cancelado em 14/02/2012
265,AGROPEC RIO PIUM SA,Cancelado em 23/01/1992
266,AGROPEC RIO PRETO SA,Cancelado em 14/02/2012
267,AGROPEC RIO S JOAO SA,Cancelado em 14/02/2012
268,AGROPEC RIO VOLTA SA,Cancelado em 23/12/1999
269,AGROPEC RODRIGUES DO SANTOS SA,Cancelado em 03/11/2005
270,AGROPEC RONCADOR SA,Cancelado em 15/06/2000
271,AGROPEC SALES OLIVEIRA SA,Cancelado em 14/02/2012
272,AGROPEC SALGADO SA,Cancelado em 14/02/2012
273,AGROPEC SANTANA SA,Cancelado em 28/09/2008
274,AGROPEC SAO BOA VENTURA SA,Cancelado em 14/02/2012
275,AGROPEC SAO CAMILO SA,Cancelado em 14/02/2012
276,AGROPEC SAO JOAO SA,Cancelado em 30/09/2014
277,AGROPEC SAO NICOLAU SA,Cancelado em 14/02/2012
278,AGROPEC SAO PEDRO SA,Cancelado em 14/02/2012
279,AGROPEC SAO PEDRO SA,Cancelado em 29/07/2016
280,AGROPEC SAO ROBERTO SA,Cancelado em 15/08/2007
281,AGROPEC SEMPRE VERDE SA,Cancelado em 28/09/2008
282,AGROPEC SONHO DOURADO SA,Cancelado em 14/02/2012
283,AGROPEC STA ADELIA SA,Cancelado em 26/07/2011
284,AGROPEC STA IDÁLIA - AGROSANTA,Cancelado em 22/08/2003
285,AGROPEC STA INEZ SA,Cancelado em 28/09/2008
286,AGROPEC STA IZABEL SA-AGROSISA,Cancelado em 28/09/2008
287,AGROPEC STA MARTA SA,Cancelado em 14/02/2012
288,AGROPEC STA RITA DO MARAJO SA,Cancelado em 14/02/2012
289,AGROPEC STA RITA DO MARAJO SA,Cancelado em 12/04/2018
290,AGROPEC STA ROSA SA,Cancelado em 28/09/2008
291,AGROPEC STA TEREZA SA,Cancelado em 14/02/2012
292,AGROPEC STO ANTONIO DAS LENDAS SA,Cancelado em 24/07/2012
293,AGROPEC TAMARINDO SA,Cancelado em 07/11/1997
294,AGROPEC TAMBORIL VITORIA SA,Cancelado em 14/02/2012
295,AGROPEC TAPIRAPE SA,Cancelado em 25/10/2010
296,AGROPEC TAQUARY SA,Cancelado em 09/09/2004
297,AGROPEC TERRA FERTIL SA,Cancelado em 02/05/2008
298,AGROPEC TERRA GOYANA SA,Cancelado em 18/04/1996
299,AGROPEC TERRA KIKUIO SA,Cancelado em 18/04/1996
300,AGROPEC TERRA NOVA SA,Cancelado em 28/09/2008
301,AGROPEC THOME AFONSO SA,Cancelado em 14/02/2012
302,AGROPEC TUCUMAN SA,Cancelado em 28/11/2016
303,AGROPEC VALE  DO  RIO URINDEUA,Cancelado em 14/02/2012
304,AGROPEC VALE DIAMANTE SA,Cancelado em 14/02/2012
305,AGROPEC VALE DIAMANTE SA,Cancelado em 24/08/2016
306,AGROPEC VALE DO ARAGUAIA S/A,Cancelado em 04/01/2006
307,AGROPEC VALE DO COCHA SA,Cancelado em 11/03/2008
308,AGROPEC VALE DO GURGUEIA SA,Cancelado em 22/09/2010
309,AGROPEC VALE DO IPOJUCA SA,Cancelado em 03/07/1997
310,AGROPEC VALE DO PRATA SA,Cancelado em 14/02/2012
311,AGROPEC VALE DO RIO CORDA SA,Cancelado em 14/02/2012
312,AGROPEC VALE DO SOL SA,Cancelado em 28/09/2008
313,AGROPEC VARZEA NOVA SA,Cancelado em 14/02/2012
314,AGROPEC VARZELANDIA SA - AGROPEVA,Cancelado em 14/02/2012
315,AGROPEC WALCON SA,Cancelado em 28/09/2008
316,AGROPECUÁRIA ARAÇATUBA S/A,Cancelado em 03/05/2013
317,AGROPECUÁRIA BRASIL PALMEIRAS S.A.,Cancelado em 02/05/2016
318,AGROPECUÁRIA DOIS IRMÃOS S/A,Cancelado em 02/05/2016
319,AGROPECUÁRIA EMILIO OMENA S/A - AGROMENA,Cancelado em 24/10/2012
320,AGROPECUÁRIA FIO DE OURO S.A.,Cancelado em 17/07/2020
321,AGROPECUÁRIA FLOR DO OURO S/A,Cancelado em 14/02/2012
322,AGROPECUÁRIA FOGLIATELLI S.A.,Cancelado em 24/07/2017
323,AGROPECUÁRIA JOTA COELHO S/A,Cancelado em 28/12/2010
324,AGROPECUÁRIA ORIENTE S/A,Cancelado em 14/02/2012
325,AGROPECUÁRIA PARANAIBA S/A,Cancelado em 14/02/2012
326,AGROPECUARIA PAU RAINHA S/A,Cancelado em 14/02/2012
327,AGROPECUÁRIA PONTAL DO PARANAITA S.A.,Cancelado em 12/04/2018
328,AGROPECUÁRIA RICARDO FRANCO S.A.,Cancelado em 07/05/2014
329,AGROPECUÁRIA RIO BRILHANTE S/A,Cancelado em 14/02/2012
330,AGROPECUÁRIA RIO URUARÁ S.A.,Cancelado em 01/06/2017
331,AGROPECUÁRIA SÃO LUIZ LTDA,Cancelado em 14/02/2012
332,AGROPECUARIA SÃO SEBASTIÃO DO ARAGUAIA S/A,Cancelado em 29/04/2009
333,AGROPECUARIA TAMAKAVY SA,Cancelado em 25/02/1988
334,AGROPECUARIA TAMAKAVY SA,Cancelado em 10/10/2019
335,AGROPECUÁRIA TERRA BRAVIA S/A,Cancelado em 07/07/2006
336,AGROPECUÁRIA VALE DO RIO ACRE S/A,Cancelado em 24/10/2012
337,AGROPEMA AGROPEC MADRAS SA,Cancelado em 02/01/1996
338,AGROPIL AGROPEC P IBIAPABA SA,Cancelado em 14/02/2012
339,AGROPIPER SA,Cancelado em 14/02/2012
340,AGROPISA AGROPEC DO PIAUI S/A,Cancelado em 28/09/2008
341,AGROSETE PEC E IND SA,Cancelado em 14/02/2012
342,AGROTEP SA AGROPEC,Cancelado em 14/02/2012
343,AGROVAS AGROPEC VALE DO SUIA SA,Cancelado em 17/07/2006
344,AGROVERDE SA,Cancelado em 02/03/1994
345,AGROVERDES AGRICOLA SA,Cancelado em 07/10/2009
346,AGUA PEDRA AZUL SA,Cancelado em 01/07/2004
347,AGUA VERDE AGROPEC SA AVASA,Cancelado em 05/01/2006
348,AGUA VIVA PRAIA HOTEL SA,Cancelado em 14/02/2012
349,AGUANAMBI INDL SA,Cancelado em 14/02/2012
350,AGUISA-AGROPEC GUIMARAES SA,Cancelado em 14/02/2012
351,AGUISA-AGROPEC GUIMARAES SA,Cancelado em 12/08/2015
352,AGV HOLDING S/A,Cancelado em 10/03/2014
353,AIR LIQUIDE,Cancelado em 19/11/1998
354,AJAJ SA AGROPECUARIA,Cancelado em 14/02/2012
355,AJEFISA-AGROPEC JOSE A F SA,Cancelado em 14/02/2012
356,ALAISA ALAGOAS AGRIC IRRIG.,Cancelado em 14/02/2012
357,ALBAE PARTICIPACOES SA,Cancelado em 15/05/2002
358,ALBATROZ SA,Cancelado em 27/12/1990
359,ALCACE NE SA EQUIP ELETRICOS,Cancelado em 14/02/2012
360,ALCALIS RIO GRANDE DO NORTE SA,Cancelado em 04/01/2010
361,ALCALIS RIO GRANDE DO NORTE SA,Cancelado em 29/09/1995
362,ALCAN ALUMINIO DO BRASIL SA,Cancelado em 28/07/1987
363,AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES SA,Cancelado em 13/11/2007
364,ALCLOR QUIM DE ALAGOAS SA,Cancelado em 13/09/1993
365,ALCOA ALUMINIO DO NE SA,Cancelado em 24/03/1994
366,ALCOA ALUMINIO SA,Cancelado em 19/10/1993
367,ALDEIA DOS REIS TURISMO SA,Cancelado em 22/12/2005
368,ALENAIDE AGRICOLA SA,Cancelado em 14/02/2012
369,ALENAIDE AGRICOLA SA,Cancelado em 30/01/2014
370,ALFA NORDESTE SA INDUSTRIA DO VESTUARIO,Cancelado em 13/11/2007
371,ALFRED SA COMERCIO DO VESTUARIO,Cancelado em 09/08/2005
372,ALGONORTE ALGODOEIRA NORTE SA,Cancelado em 10/04/2008
373,ALIANSCE SHOPPING CENTERS S/A,Cancelado em 05/08/2019
374,ALIM PROTEICOS DO NORTE SA,Cancelado em 14/02/2012
375,ALIMENTA PARTICIPAÇÕES E SERVIÇOS SA,Cancelado em 10/11/2003
376,ALIMENTICIO INTERN DE CACAU SA,Cancelado em 14/02/2012
377,ALIPAR ALIMENTOS E PARTS SA,Cancelado em 27/09/1995
378,ALIUM PARTICIPAÇÕES SA,Cancelado em 31/08/2011
379,ALL FAMA INDL SA,Cancelado em 14/02/2012
380,ALL FAMA INDL SA,Cancelado em 18/04/2019
381,ALLIS PARTICIPAÇÕES S.A.,Cancelado em 26/08/2015
382,ALMASA ALCOOLEIRA MATEENSE SA,Cancelado em 16/12/1994
383,ALMASA ALIMS DO MA SA,Cancelado em 14/11/2005
384,ALMEC INDUSTRIAS MECANICA SA,Cancelado em 22/03/2005
385,ALOBA SA AGROINDL DO NE,Cancelado em 03/11/2005
386,ALPART ALPA PARTICIPACOES SA,Cancelado em 19/10/1989
387,ALPES SA HOT E TUR,Cancelado em 25/07/2003
388,ALPINA BRASIL SA MAQ IMP AGRIC,Cancelado em 09/08/2005
389,ALPLAN SA IND COM CH MAD AGLOM,Cancelado em 02/08/1989
390,ALTA - AMER.LAT.TELEC.AVANÇADAS S/A,Cancelado em 29/12/2003
391,ALTUS SISTEMA DE AUTOMAÇÃO S.A.,Cancelado em 08/12/2017
392,ALUBRAS ARTF ACO ALUM BR SA,Cancelado em 24/02/1997
393,ALUMAZON COMPONENTES DA AM S A,Cancelado em 14/02/2012
394,ALUMÍNIO EXTRUDADO DO BRASIL S/A,Cancelado em 14/02/2012
395,ALUMÍNIO EXTRUDADO DO BRASIL S/A,Cancelado em 21/01/2019
396,ALUMINIO EXTRUSAO LAMINACAO,Cancelado em 30/01/1997
