,Names,Situacoes
86,BOMBRIL SA,Concedido em 26/09/1984
87,BONAIRE PARTICIPAÇÕES S.A.- EM LIQUIDAÇÃO,Concedido em 03/11/1997
88,BR MALLS PARTICIPAÇOES S.A.,Concedido em 04/01/2006
89,BR PROPERTIES S.A.,Concedido em 04/01/2006
90,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Concedido em 24/11/2004
91,BRADESPAR S/A,Concedido em 07/08/2000
92,BRASIL BROKERS PARTICIPAÇÕES SA,Concedido em 26/10/2007
93,BRASIL SECURITIZADORA S.A.,Concedido em 12/12/2017
94,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,Concedido em 25/04/2006
95,BRASILIANA PARTICIPAÇÕES S.A.,Concedido em 23/06/2016
96,BRASKEM S.A.,Concedido em 18/12/1978
97,BRAZIL REALTY CIA SECURITIZADORA DE CREDITOS IMOLIARIOS,Concedido em 02/05/2005
98,BRAZILIAN FINANCE & REAL ESTATE S.A.,Concedido em 10/11/1998
99,BRAZILIAN SECURITIES CIA SECURITIZAÇÃO,Concedido em 04/09/2000
100,BRB-BANCO DE BRASILIA SA,Concedido em 24/09/1993
101,BRF S.A.,Concedido em 24/06/1997
102,BRK AMBIENTAL PARTICIPAÇÕES S.A.,Concedido em 22/10/2019
103,BRPR 56 SECURITZADORA CRED IMOB SA,Concedido em 22/02/2006
104,BRQ SOLUÇÕES EM INFORMÁTICA S.A.,Concedido em 11/01/2016
105,BSI CAPITAL SECURITIZADORA S.A.,Concedido em 17/04/2013
106,BTGI QUARTZO PARTICIPAÇÕES S.A.,Concedido em 19/02/2016
107,BTGI SAFIRA PARTICIPAÇÕES S.A.,Concedido em 19/02/2016
108,C&A MODAS S.A.,Concedido em 24/10/2019
109,CABINDA PARTICIPAÇÕES SA,Concedido em 29/10/2001
110,CACHOEIRA PAULISTA TRANSMISSORA DE ENERGIA SA,Concedido em 19/12/2011
111,CACONDE PARTICIPAÇÕES SA,Concedido em 29/10/2001
112,CAIANDA PARTICIPAÇÕES SA,Concedido em 29/10/2001
113,CAIXA ADM DIV PUB ESTADUAL SA,Concedido em 04/09/1996
114,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,Concedido em 17/12/2015
115,CAMBUCI SA,Concedido em 05/01/1985
116,CAMIL ALIMENTOS S/A,Concedido em 26/09/2017
117,CAPITALE SECURITIZADORA DE CREDITO S.A.,Concedido em 07/03/2014
118,CAPITALPART PARTICIPAÇÕES SA,Concedido em 09/07/1998
119,CARBOMIL SA MINER. E INDUSTRIA,Concedido em 27/07/1993
120,CASA DE PEDRA SECURITIZADORA DE CRÉDITO S.A.,Concedido em 13/02/2019
121,CCB BRASIL ARRENDAMENTO MERCANTIL S/A,Concedido em 16/11/1995
122,CCR S.A.,Concedido em 19/12/2000
123,CCX CARVÃO DA COLOMBIA S.A. - EM LIQUIDAÇÃO,Concedido em 19/07/2006
124,CEL PARTICIPAÇÕES S.A. - CELPAR,Concedido em 01/12/1997
125,CELEO REDES TRANSMISSÃO DE ENERGIA S.A.,Concedido em 12/12/2018
126,CEMEPE INVESTIMENTOS SA,Concedido em 28/06/1991
127,CEMIG DISTRIBUIÇÃO S/A,Concedido em 25/09/2006
128,CEMIG GERAÇÃO E TRANSMISSÃO S/A,Concedido em 10/10/2006
129,CENTENOR EMPREEND SA,Concedido em 12/01/2015
130,CENTRAIS ELETRICAS BRASILEIRAS SA,Concedido em 28/01/1971
131,CENTRAIS ELETRICAS DE SANTA CATARINA S.A,Concedido em 26/03/1973
132,CENTRO DE IMAGEM DIAGNÓSTICOS S.A.,Concedido em 26/10/2016
133,CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO,Concedido em 27/09/1971
134,CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN,Concedido em 06/02/1998
135,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,Concedido em 28/07/1994
136,CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA,Concedido em 26/07/2000
137,CIA ENERG CEARA - COELCE,Concedido em 13/06/1995
138,CIA ENERG MINAS GERAIS - CEMIG,Concedido em 30/06/1971
139,CIA ENERGÉTICA DE PERNAMBUCO - CELPE,Concedido em 29/04/1994
140,CIA ENERGÉTICA DO RIO GRANDE DO NORTE,Concedido em 04/01/1999
141,CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,Concedido em 28/07/1997
142,CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA,Concedido em 17/04/2007
143,CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA,Concedido em 07/01/1970
144,CIA FERRO LIGAS BAHIA FERBASA,Concedido em 28/02/1961
145,CIA HERING,Concedido em 26/01/1995
146,CIA HIDRO ELÉTRICA DO SÃO FRANCISCO,Concedido em 19/12/1969
147,CIA INDUSTRIAL SCHLOSSER S.A.,Concedido em 28/06/1985
148,CIA PIRATININGA DE FORÇA E LUZ,Concedido em 18/04/2002
